match_id,player1,player2,player1hand,player2hand
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez.html,Ryan Harrison,Guillermo Garcia Lopez,RH,RH
20120314-M-Indian_Wells_Masters-R16-Roger_Federer-Thomaz_Bellucci.html,Roger Federer,Thomaz Bellucci,RH,LH
20120315-W-Indian_Wells-QF-Ana_Ivanovic-Marion_Bartoli.html,Ana Ivanovic,Marion Bartoli,RH,RH
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal.html,Roger Federer,Rafael Nadal,RH,LH
20120317-M-Indian_Wells_Masters-SF-John_Isner-Novak_Djokovic.html,John Isner,Novak Djokovic,RH,RH
20120318-W-Indian_Wells-F-Maria_Sharapova-Victoria_Azarenka.html,Maria Sharapova,Victoria Azarenka,RH,RH
20120319-M-Indian_Wells_Masters-F-Roger_Federer-John_Isner.html,Roger Federer,John Isner,RH,RH
20120325-M-Miami_Masters-R32-Grigor_Dimitrov-Tomas_Berdych.html,Grigor Dimitrov,Tomas Berdych,RH,RH
20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic.html,David Ferrer,Novak Djokovic,RH,RH
20120330-M-Miami_Masters-SF-Juan_Monaco-Novak_Djokovic.html,Juan Monaco,Novak Djokovic,RH,RH
20120401-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray.html,Novak Djokovic,Andy Murray,RH,RH
20120406-M-Davis_Cup_World_Group_QF-RR-Ivo_Karlovic-Juan_Martin_Del_Potro.html,Ivo Karlovic,Juan Martin Del Potro,RH,RH
20120415-M-Casablanca-F-Albert_Ramos-Pablo_Andujar.html,Albert Ramos,Pablo Andujar,LH,RH
20120415-W-Barcelona-F-Dominika_Cibulkova-Sara_Errani.html,Dominika Cibulkova,Sara Errani,RH,RH
20120421-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Tomas_Berdych.html,Novak Djokovic,Tomas Berdych,RH,RH
20120421-M-Monte_Carlo_Masters-SF-Rafael_Nadal-Gilles_Simon.html,Rafael Nadal,Gilles Simon,LH,RH
20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal.html,Novak Djokovic,Rafael Nadal,RH,LH
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep.html,Kiki Bertens,Simona Halep,RH,RH
20120429-M-Barcelona-F-David_Ferrer-Rafael_Nadal.html,David Ferrer,Rafael Nadal,RH,LH
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka.html,Maria Sharapova,Victoria Azarenka,RH,RH
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar.html,Benoit Paire,Pablo Andujar,RH,RH
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber.html,Marin Cilic,Philipp Kohlschreiber,RH,RH
20120505-W-Budapest-F-Sara_Errani-Elena_Vesnina.html,Sara Errani,Elena Vesnina,RH,RH
20120506-W-Estoril-F-Kaia_Kanepi-Carla_Suarez_Navarro.html,Kaia Kanepi,Carla Suarez Navarro,RH,RH
20120510-M-Madrid_Masters-QF-David_Ferrer-Roger_Federer.html,David Ferrer,Roger Federer,RH,RH
20120510-M-Madrid_Masters-R16-Roger_Federer-Richard_Gasquet.html,Roger Federer,Richard Gasquet,RH,RH
20120512-M-Madrid_Masters-F-Tomas_Berdych-Roger_Federer.html,Tomas Berdych,Roger Federer,RH,RH
20120512-M-Madrid_Masters-SF-Roger_Federer-Janko_Tipsarevic.html,Roger Federer,Janko Tipsarevic,RH,RH
